OBJECT_ID,SEMIMAJOR_AXIS,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,MEAN_MOTION,PERIOD,VELOCITY_PERIGEE,VELOCITY_APOGEE,RCS_SIZE,OBJECT_TYPE
1992-072J,20668.618,0.6528926,7.7156,90.241,243.1216,38.7796,2.92169986,29571.826039653508,9.583045400934306,2.012439267500057,MEDIUM,DEBRIS
1979-028C,7358.038,0.003072,82.9193,299.112,158.9093,201.3337,13.75497324,6281.3644557842845,7.382816240911325,7.337595137157896,SMALL,DEBRIS
2001-015A,41197.852,0.0237386,12.1717,16.5368,250.1248,146.29,1.03822361,83219.06684437662,3.1852467408705913,3.037526808687062,LARGE,PAYLOAD
1999-057MB,7015.076,0.0060618,98.4781,8.7205,37.3771,323.1632,14.77590694,5847.356805294011,7.583772423844471,7.4923837801669935,SMALL,DEBRIS
1999-057MC,7031.4,0.0062255,98.4232,122.0724,345.1605,27.6061,14.72448242,5867.778407113615,7.5762047580263445,7.482457058885163,SMALL,DEBRIS
1999-057MD,7141.674,0.0085229,98.7597,287.9689,54.53,306.3803,14.38476477,6006.354735823741,7.534777810966483,7.407426894482413,SMALL,DEBRIS
2001-018A,42523.71,0.000347,4.6906,78.1846,223.9574,172.3174,0.99004751,87268.53926434297,3.062696834306514,3.0605720600001898,LARGE,PAYLOAD
2001-018B,24685.275,0.7052274,1.3497,331.9982,336.4349,76.7499,2.23844183,38598.277981608306,9.664903089358397,1.6707147752834652,LARGE,ROCKET BODY
1965-108AS,21580.311,0.6743901,26.0813,147.4319,62.8851,354.2763,2.73852195,31549.865795306116,9.745846674027035,1.895223915230552,SMALL,DEBRIS
2001-019A,42164.938,0.0003655,5.0375,75.2284,162.742,225.241,1.00271049,86166.44670786282,3.0757560362127525,3.0735084800320647,LARGE,PAYLOAD
2001-019D,27859.358,0.5146261,16.3165,183.7808,30.2176,155.7881,1.86700772,46277.25909992488,6.681867390405453,2.1412571951347714,LARGE,ROCKET BODY
1965-108AW,22062.599,0.6809499,27.9497,27.7801,208.1422,163.5573,2.64921844,32613.39219728518,9.75637554633367,1.8517937945058995,MEDIUM,DEBRIS
1965-108AX,22328.02,0.6769548,26.926,358.9858,204.1448,354.4938,2.6021208,33203.68524013182,9.626597745556552,1.8544484288025331,SMALL,DEBRIS
1965-108AY,22410.89,0.6297464,26.9303,355.7855,356.9946,11.8641,2.58770109,33388.70951281317,8.848093613020849,2.010152323918602,MEDIUM,DEBRIS
1965-108AZ,18868.234,0.6343318,27.418,172.6745,38.9033,352.9315,3.34969965,25793.357323842454,9.716945479068288,2.174086047171718,MEDIUM,DEBRIS
1965-108BA,10509.966,0.365277,26.4351,81.3437,160.0386,219.1424,8.05750932,10722.916545134074,9.032053940235317,4.199039735605287,MEDIUM,DEBRIS
1965-108BB,21886.43,0.6576568,27.3485,85.8947,282.9278,87.2713,2.68126894,32223.54860083525,9.390698290774939,1.9393892047487893,MEDIUM,DEBRIS
1984-035C,21286.879,0.6824598,30.09,149.3319,131.7448,310.9147,2.79534088,30908.573840912024,9.960608815581542,1.8799223110243268,SMALL,DEBRIS
1981-016J,26163.89,0.6316531,67.7305,124.7652,10.9785,358.1383,2.05139493,42117.68233238249,8.214915941187096,1.8545233792016511,MEDIUM,DEBRIS
1985-056M,24507.735,0.7003414,7.4613,339.3342,232.0774,41.3298,2.26280952,38182.6217524487,9.606650486599909,1.6930220222267407,MEDIUM,DEBRIS
1992-021Q,24740.777,0.6983077,3.7825,348.3277,178.4621,66.0985,2.2309136,38728.52807925865,9.523318036219209,1.6917498059853684,MEDIUM,DEBRIS
1992-019D,10139.342,0.35186,34.6905,351.133,222.1016,104.8228,8.50331215,10160.74659801828,9.055146197579111,4.3414277044212595,SMALL,DEBRIS
1991-015L,20868.627,0.6632302,7.4066,147.3828,1.4583,272.5165,2.87979738,30002.110773501707,9.71251150691917,1.9665831931640418,MEDIUM,DEBRIS
1988-081G,25170.978,0.7031328,5.6919,175.421,6.8904,265.7559,2.17396536,39743.0435598109,9.531516061153056,1.6614056665631338,LARGE,DEBRIS
1988-081H,25173.253,0.70429,5.6838,154.002,48.0946,47.2933,2.17367064,39748.43217277848,9.552959754519813,1.6575264356471342,MEDIUM,DEBRIS
1988-109L,25411.923,0.7214417,6.2895,266.9641,35.3202,146.6877,2.14311986,40315.05732021913,9.845510174330467,1.5931695954583873,MEDIUM,DEBRIS
1988-063J,21887.699,0.6924344,7.0455,339.5057,260.2886,21.482,2.68103565,32226.352529105683,10.010502181470933,1.8192055832388048,MEDIUM,DEBRIS
1988-109M,25255.392,0.7165926,7.086,313.7486,296.0602,128.8665,2.16307511,39943.13447580653,9.777320796902425,1.614224054103486,MEDIUM,DEBRIS
1988-109P,24843.901,0.7020744,6.9206,11.572,184.131,223.073,2.21703772,38970.920170000536,9.57402057647076,1.6758056079436936,MEDIUM,DEBRIS
1989-001P,8877.117,0.1897648,65.6102,238.5713,31.8166,338.4431,10.37994013,8323.747431865004,8.120035405421667,5.529780769038473,MEDIUM,DEBRIS
